id|code|name
32569|8702109900|"Автобус пасажирський, марки ""MERCEDES-BENZ"",модель ""SPRINTER 413 CDI"", ідентифікаційний номер(номер шасі)- WDB9046122R315953 , загальна кількість місць включаючи місце водія - 21, номер двигуна - 61198150427793 , тип двигуна - дизель, об""єм двигуна - 2151 см3, бувший у використанні, календарний рік виготовлення - 2001, модельний рік виготовлення - 2001. Виробник ""DAIMLER AG"",DE2.місць-1,без пакування. Маркування ""MERCEDES-BENZ"""
104467|8705100000|Автокран самохідний, що був у використанні, змонтований на конструкції, що має ознаки автомобільного шасі та має, такі механічні вузли: двигун, коробку передач і важелі керування переключенням швидкостей, а також рульове керування та гальма, обладнаний передніми фарами та пристроями візуальної сигналізації. Марка - LOCATELLI; - модель - GRIL 8300T; - ідентифікаційний номер (VIN): ZA999100301D04714;- рік виготовлення: 2013;- тип двигуна: дизельний;- потужність двигуна: 113kW; - номер двигуна - 22086315; - вантажопід'ємність - 30,000т;- колісна формула - 4x4;- кут повороту стріли - 360 градусів;- довжина колісної бази - 3210мм;- загальна кількість місць для сидіння включаючи місця водія - 1. Максимальна швидкість 37км/год; Двигун не становить частину підіймального пристрою. Керування підіймальним механізмом здійснюється електрогідравлічною установкою. Можливість переміщення разом з вантажем.Торговельна марка: LOCATELLI; - виробник: Locatelli S.p.A.; - країна виробництва: IT.
116705|9024108000|"Автоматична лінія для гідравлічного випробування та шаблонування гладких труб. Виробник: ""SMS group S.p.A"", Італія."
32579|8452210000|"Автоматична промислова швейна машина призначе-на для зшивання бурлетів (бокової частини матрацного чохла), модель BCL-200-1шт, напруга 220В, 1 фаза, ток 5А, швидкість 3000 об/хв, торгівельна марка ""Porter""Виробник: ""Porter International"", країна виробництва US.2.Місць 1, пакування: дерев'яна скриня."
50032|8704213900|"Автомобіль вантажний бортовийВсього 1 шт. Марка ""IVECO"". Модель ""DAILY 35/A"". Ідентифікаційний номер(номер кузова) ZCFC35A2005581543. Загальна кількість місць включаючи місце водія-7. Призначення:для використання по дорогамзагального користування(для перевезення вантажів). Номер двигуна:F1CE0481A5040479940275550 Тип двигуна-дизельний. Робочий об""єм циліндрів двигуна 2998 см3. Вантажопідйомність 0.625 т.Маса у разі максимального завантаження 3.5 т.Бувший у використанні. Колісна формула:4 х 2. Календарний рік виготовлення 2006. Модельний рік виготовлення 2006.Тип кузова-бортова платформа. Не виготовлений на базі кузова легкового автомобіля. З подвоєною пасажирською кабіною. Довжина колісної бази складає 350 см.Максимальна внутрішня(корисна) довжина підлоги бортової платформи складає 310 см.Торговельна марка ""IVECO"". Фірма-виробник ""IVECO SPA"" IT.2 1 місце без упакування. Маркування: ""IVECO 35C14 HPI"""
32602|8704219900|"Автомобіль вантажний марки ""FORD"", модель ""TRANSIT"", ідентифікаційний номер (номер кузова)-WF0CXXTTFC5C88933, загальна кількість місць, включаючи місце водія-7, наявність сидіння типу лавки позаду водія без пристроїв безпеки, призначення: для використання по дорогах загального користування (для перевезення вантажів), номер двигуна - 5C88933, тип двигуна - дизельний, робочий об'єм циліндрів - 2402 см3, вантажопідйомність - 1,379 т, маса в разі максимального завантаження - 3,500 т, бувший у використанні, колісна формула - 4х2, тип кузова - вантажний з відкритою бортовою платформою і подвійною кабіною для водія та пасажирів, календарний рік виготовлення-2005, модельний рік виготовлення-2005, виробник ""FORD WERKE GMBH"", DE, не виготовлений на базі кузова легкового автомобіля.2.Місць-1. Без пакування, маркування ""FORD"""
48849|8704219900|"Автомобіль вантажний марки ""OPEL"" ,модель ""VIVARO"", ідентифікаційний номер (номер кузова) -W0LF7BCB65V630562, загальна кількість мість, включаючи місце водія - 2, призначення: для використання по дорогах загального користування (для перевезення вантажів), номер двигуна(маркування) - F9QU7C428545, тип двигуна - дизельний , робочий об""єм циліндрів -1870 см3 , вантажопідйомність -1,137 т , маса в разі максимального завантаження -2,940 т , бувший у використанні , колісна формула 4х2 , тип кузова - фургон ,наявна стаціонарна перегородка між кабіною водія та вантажним відділенням,відсутні вікна в бокових панелях,відсутні доступні отвори для кріплення сидінь та встановлення пристроїв безпеки,відсутні в задній частині кузова декоративне оздоблення та ознаки комфорту, календарний рік виготовлення - 2005, модельний рік виготовленя -2005, не виготовлений на базі кузова легкового автомобіля , виробник ""Adam OPEL AG"",DE.2.Місць-1шт.Без пакування.Маркування ""OPEL""."
51306|8704219900|"Автомобіль вантажний марки ""OPEL"" ,модель ""VIVARO"",ідентифікаційний номер (номер кузова) - W0LF7ACA65V644280, загальна кількість місць, включаючи місце водія - 2, призначення: для використання по дорогах загального користування (для перевезення вантажів), номер двигуна - C464573, тип двигуна - дизельний ,робочий об""єм циліндрів - 1870 см3, вантажопідйомність - 0,948т , маса в разі максимального завантаження -2,700 т, бувший у використанні,колісна формула 4х2, тип кузова - фургон, наявна стаціонарна перегородка між кабіною водія та вантажним відділенням,відсутні вікна в бокових панелях,відсутні доступні отвори для кріплення сидінь та встановлення пристроїв безпеки,відсутні в задній частині кузова декоративне оздоблення та ознаки комфорту, календарний рік виготовлення -2005, модельний рік виготовленя -2005, не виготовлений на базі кузова легкового автомобіля, виробник ""ADAM OPEL AG"",DE.2.Місць-1шт.Без пакування.Маркування ""OPEL""."
77530|8704219900|Автомобіль вантажний:- марки VOLKSWAGEN, - модель TRANSPORTER,- ідентифікаційний номер - WV2ZZZ70ZSH045230,- тип двигуна - дизельний, - робочий об'єм циліндрів двигуна - 2370см3,- потужність - 57кВт,- загальна кількість місць - 3,- призначення а/м -для перевезення вантажів по дорогахзагального користування,- двигун -AAB306880, - вантажопідйомність - 0,995т.,- маса у разі максимального завантаження - 2,59т.,- колісна формула: 4х2,- тип кузова - фургон(в якому відсутні доступні місця, отвори, пристосування для встановлення сидінь та пристроїв безпеки);- такий що був у використанні,- календарний рік виготовлення - 1995,- модельний рік виготовлення - 1995,- дата введення в експлуатацію - 04.01.1995,- колір - сірий.Країна виробництва: DE. 2. Одне місце. Без пакування.
70041|8704219900|Автомобіль вантажний на базі кузова легкового автомобіля:- марки RENAULT, - модель KANGOO,- ідентифікаційний номер - VF1FW1AB542069840, тип двигуна - дизельний, - робочий об'єм циліндрів двигуна - 1461см3,- потужність -50кВт,- загальна кількість місць - 2,- призначення а/м -для перевезення вантажів по дорогахзагального користування,- двигун - K9K, - вантажопідйомність - 0,667т.,- маса у разі максимального завантаження - 1,918т.,- колісна формула: 4х2,- тип кузова - фургон(в якому відсутні доступні місця, отвори, пристосування для встановлення сидінь та пристроїв безпеки);- Автомобіль пошкоджено при ДТП.- такий що був у використанні,- календарний рік виготовлення- 2009,- модельний рік виготовлення - 2009,- дата введення в експлуатацію - 08.10.2009,- колір -білий.Країна виробництва: FR. 2. Одне місце. Без пакування.
47850|8704219900|Автомобіль вантажний на базі кузова легкового автомобіля:- марки RENAULT,- модель KANGOO,- ідентифікаційний номер - VF1FC09AF33613657,- тип двигуна - дизельний, - робочий об'єм циліндрів двигуна- 1461см3,- потужність - 42кВт, - загальна кількість місць - 2,- призначення а/м - для перевезення вантажів по дорогахзагального користування,- двигун- К9КС710065993, - вантажопідйомність - 0,62т.,- маса у разі максимального завантаження - 1,66т.,- колісна формула: 4х2,- тип кузова - фургон(в якому відсутні доступні місця, отвори, пристосування для встановлення сидінь та пристроїв безпеки);- такий що був у використанні,- календарний рік виготовлення- 2005,- модельний рік виготовлення - 2005,- дата введення в експлуатацію - 14.04.2005,- колір жовтий.Країна виробництва: FR. 2. Одне місце. Без пакування.
50837|8704313900|"Автомобіль вантажний ""пікап"" марки ""Toyota"", модель ""TUNDRA"" -1шт, б/в, календ.рік виготовлення 2007, модельний рік виготовл. 2007, двигун бензиновий. Потужн. 280kw/381к.с., об'єм двиг. 5663см.куб., номер двиг. 3URFE, колір сірий, категорія ТЗ - N1,повна маса в разі максим. навантаження 3.22т, ном.(VIN): 5TBBV58147S452098, вантажопідйомність 0.761т, власна маса 2.459т, для використання по дорогах загального користування, загальна кількість місць, включно місце водія - 5, тип кузова: пікап, 4-ох дверний, довжина колісної бази транспортного засобу становить 3700мм. Внутрішня довжина підлоги тієї частини, що призначена для перевезення вантажів становить 1950мм (52.7% довжини колісної бази). Пробіг 71392 милі. Конструкція - лонжеронна рама. Колісна формула 4х4, виготовлений не на базі кузова легкового автомобіля. Тороговельна марка ""Toyota"". Виробник ""Toyota "" США, країна виробництва us."
